"name","lat","lon","points_extract"
"aegopogon",-15.9236,-48.8086,1008
"aegopogon",-15.8,-48.77,1126
"aegopogon",-12.9,-51.37,224
"aegopogon",-12.9,-51.87,365
"aegopogon",-16,-49,748
"aegopogon",-16.7686,-47.6136,1202
"aegopogon",-15.8525,-48.9592,782
"aegopogon",-16.7686,-47.6136,1202
"aegopogon",-14,-50,308
"aegopogon",-16.0611,-50.00122,765
"aegopogon",-14,-47,454
"aegopogon",-14.1167,-47.70192,1201
"aegopogon",-16.7686,-47.6136,1202
"aegopogon",-16.72289,-47.6,1170
"aegopogon",-17,-48,842
"aegopogon",-14.0931,-46.3694,816
"aegopogon",-14.13,-46.37,807
"aegopogon",-14,-46,938
"aegopogon",-16.73193,-47.6,1170
"aegopogon",-16,-48,1184
"aegopogon",-15.9236,-48.8086,1008
"aegopogon",-16,-49,748
"aegopogon",-15.8,-47.82397,1040
"aegopogon",-16.0357639586557,-48.8091309966958,1010
"aegopogon",-15.7834208090807,-47.9298726661488,1127
"aegopogon",-15.7834208090807,-47.9298726661488,1127
"aegopogon",-15.7834208090807,-47.9298726661488,1127
"aegopogon",-15.7834208090807,-47.9298726661488,1127
"aegopogon",-10.8339,-52.8731,334
"aegopogon",-12.82,-51.77,332
"aegopogon",-19.690239,-44.096503,838
"aegopogon",-13.666944,-47.801111,823
"aegopogon",-15.8525,-48.9592,782
"aegopogon",-14.116667,-47.516667,1319
"aegopogon",-16.7686,-47.6136,1202
"aegopogon",-10.8339,-52.8731,334
"albescens",-14.120864,-47.653017,1248
"albescens",-14.071511,-47.391086,815
"albescens",-14.143056,-47.703056,1248
"albescens",-14.189722,-47.774444,1080
"albescens",-15.85,-52.267,519
"albescens",-13.566944,-45.084722,727
"albescens",-14.133333,-47.45,1252
"albescens",-14.55,-60.916667,220
"albescens",-13.766667,-47.5,948
"albescens",-14.58194,-60.84111,222
"albescens",-14.8233,-60.3861,823
"albescens",-14.5583,-60.7614,541
"albescens",-13.73,-47.25,683
"albescens",-14.116667,-47.516667,1319
"albescens",-14.116667,-47.516667,1319
"albescens",-14.116667,-47.516667,1319
"albescens",-14.116667,-47.516667,1319
"albescens",-14.116667,-47.5,1319
"albescens",-14.116667,-47.516667,1319
"albescens",-14,-47,454
"albescens",-14,-47,454
"albescens",-14.12,-47.5,1319
"albescens",-14.1103,-47.5103,1319
"albescens",-14.0755,-47.4754,1132
"albescens",-14.104,-47.4658,1179
"albescens",-13.8162297263192,-47.2651251433805,895
"albescens",-14.116667,-47.516667,1319
"albescens",-14.1167,-47.5167,1319
"albescens",-14.38,-47.53,1118
"albescens",-14,-47,454
"albescens",-10.8339,-52.8731,334
"albescens",-14,-47,454
"albescens",-14.1167,-47.65562,1248
"albescens",-14.1167,-47.52596,1319
"albescens",-14,-47,454
"albescens",-14.116667,-47.516667,1319
"albescens",-10.8339,-52.8731,334
"albescens",-12,-48,358
"araguaiensis",-6.168056,-48.56,316
