"specificEpithet","day","month","year","lat","lon"
"aegopogon",NA,NA,1982,-16.016667,-48.2
"aegopogon",14,1,1981,-15.9236,-48.8086
"aegopogon",14,1,1981,-30,-52
"aegopogon",25,2,1981,-15.95,-47.9
"aegopogon",29,1,1980,-15.95,-47.933333
"aegopogon",NA,1,1980,-14.116667,-47.516667
"aegopogon",23,1,1979,-14,-47
"aegopogon",NA,1,1979,-14.116667,-47.516667
"aegopogon",27,12,1979,-15.7834208090807,-47.9298726661488
"aegopogon",11,4,1976,-15.866667,-47.85
"aegopogon",28,11,1976,-14.1361863978701,-47.5101417129434
"aegopogon",20,12,1974,-17.8,-48.75
"aegopogon",21,12,1974,-17.8,-48.75
"aegopogon",4,4,1973,-16.7686,-47.6136
"aegopogon",4,4,1973,-16.823742555015,-47.6704580401791
"aegopogon",16,1,1972,-15.8525,-48.9592
"aegopogon",15,1,1972,-15.8525,-48.9592
"aegopogon",21,1,1972,-14.4739,-48.4597
"aegopogon",23,1,1972,-14.4739,-48.4597
"aegopogon",15,1,1972,-15.85,-48.85664
"aegopogon",23,1,1972,-14.5223,-48.45
"aegopogon",17,1,1972,-15.7981191657884,-48.7761282105302
"aegopogon",20,3,1971,-14.116667,-47.516667
"aegopogon",5,2,1970,-17.22555,-46.8727
"aegopogon",8,2,1970,-17.05385,-47.1541
"aegopogon",25,2,1970,-15.73555,-47.6874
"aegopogon",15,1,1968,-15.9236,-48.8086
"aegopogon",15,1,1968,-15.8,-48.77
"aegopogon",8,3,1968,-12.9,-51.37
"aegopogon",8,4,1968,-12.9,-51.87
"aegopogon",2,12,1968,-16,-49
"aegopogon",NA,NA,1968,-16.7686,-47.6136
"aegopogon",NA,NA,1968,-15.8525,-48.9592
"aegopogon",2,2,1967,-16.7686,-47.6136
"aegopogon",19,1,1966,-14,-50
"aegopogon",19,1,1966,-16.0611,-50.00122
"aegopogon",9,2,1966,-14,-47
"aegopogon",9,2,1966,-14.1167,-47.70192
"aegopogon",2,3,1966,-16.7686,-47.6136
"aegopogon",2,3,1966,-16.72289,-47.6
"aegopogon",2,3,1966,-17,-48
"aegopogon",6,4,1966,-14.0931,-46.3694
"aegopogon",6,4,1966,-14.13,-46.37
"aegopogon",6,4,1966,-14,-46
"aegopogon",5,11,1965,-16.73193,-47.6
"aegopogon",10,11,1965,-16,-48
"aegopogon",2,12,1965,-15.9236,-48.8086
"aegopogon",2,12,1965,-16,-49
"aegopogon",12,12,1965,-15.8,-47.82397
"aegopogon",2,12,1965,-16.0357639586557,-48.8091309966958
"aegopogon",9,12,1965,-15.7834208090807,-47.9298726661488
"aegopogon",14,12,1965,-15.7834208090807,-47.9298726661488
"aegopogon",19,10,1963,-15.7834208090807,-47.9298726661488
"aegopogon",4,1,1961,-15.7834208090807,-47.9298726661488
"aegopogon",NA,NA,1844,-10.8339,-52.8731
"aegopogon",NA,NA,NA,-12.82,-51.77
"aegopogon",NA,NA,NA,-19.690239,-44.096503
"aegopogon",NA,NA,NA,-13.666944,-47.801111
"aegopogon",NA,NA,NA,-15.8525,-48.9592
"aegopogon",NA,NA,NA,-14.116667,-47.516667
"aegopogon",NA,NA,NA,-16.7686,-47.6136
"aegopogon",NA,NA,NA,-10.8339,-52.8731
"albescens",21,3,2012,-14.120864,-47.653017
"albescens",21,3,2012,-14.071511,-47.391086
"albescens",21,3,2012,-14.143056,-47.703056
"albescens",21,3,2012,-14.189722,-47.774444
"albescens",10,2,2006,-15.85,-52.267
"albescens",13,12,2000,-13.566944,-45.084722
"albescens",14,3,1995,-14.133333,-47.45
"albescens",22,9,1995,-14.55,-60.916667
"albescens",21,5,1994,-13.766667,-47.5
"albescens",30,10,1993,-14.58194,-60.84111
"albescens",6,11,1993,-14.8233,-60.3861
"albescens",11,11,1993,-14.5583,-60.7614
"albescens",8,2,1987,-13.73,-47.25
"albescens",8,2,1981,-14.116667,-47.516667
"albescens",7,2,1981,-14.116667,-47.516667
"albescens",NA,1,1980,-14.116667,-47.516667
"albescens",5,2,1979,-14.116667,-47.516667
"albescens",14,2,1979,-14.116667,-47.5
"albescens",3,2,1979,-14.116667,-47.516667
"albescens",3,2,1979,-14,-47
"albescens",16,2,1979,-14,-47
"albescens",14,2,1979,-14.12,-47.5
"albescens",5,3,1973,-14.1103,-47.5103
"albescens",7,3,1973,-14.0755,-47.4754
"albescens",6,3,1973,-14.104,-47.4658
"albescens",18,3,1973,-13.8162297263192,-47.2651251433805
"albescens",21,3,1969,-14.116667,-47.516667
"albescens",21,3,1969,-14.1167,-47.5167
"albescens",23,3,1968,-14.38,-47.53
"albescens",13,2,1966,-14,-47
"albescens",14,2,1966,-10.8339,-52.8731
"albescens",14,2,1966,-14,-47
"albescens",8,2,1966,-14.1167,-47.65562
"albescens",13,2,1966,-14.1167,-47.52596
"albescens",8,2,1966,-14,-47
"albescens",NA,NA,NA,-14.116667,-47.516667
"albescens",NA,NA,NA,-10.8339,-52.8731
"albescens",NA,NA,NA,-12,-48
"araguaiensis",11,7,2016,-6.168056,-48.56
"araguaiensis",8,2,1980,-8.05,-50.17
"araguaiensis",13,2,1980,-8.05,-50.17
"aspera",22,6,2018,-1.860556,-54.082778
"aspera",21,6,2018,-2.031944,-54.206944
"aspera",23,6,2018,-1.714167,-54.748889
"aspera",26,1,2017,-1.424906,-48.42
"aspera",15,2,2017,-2.424906,-48.42
"aspera",3,3,2017,-0.854722,-48.539167
"aspera",2,4,2017,5.561389,-68.449778
"aspera",15,8,2017,-7.056586,-51.409722
"aspera",4,8,2017,13.575583,-84.323778
"aspera",26,11,2017,8.553042,-75.196161
"aspera",26,3,2016,-9.188055,-62.948611
"aspera",19,7,2016,-0.823333,-48.095
"aspera",15,5,2015,3.552611,-71.620611
"aspera",16,5,2015,4.120583,-71.529667
"aspera",12,10,2015,6.223806,-69.880056
"aspera",9,10,2015,6.269583,-69.680456
"aspera",11,2,2014,-0.944058,-48.020847
"aspera",4,3,2014,-3.844178,-51.832289
"aspera",24,6,2014,-2.500833,-45.775
"aspera",30,8,2014,-2.485639,-45.778611
"aspera",26,9,2014,1.7744,-61.1522
"aspera",26,9,2014,1.7731,-61.1514
"aspera",27,9,2014,1.477861,-60.997778
"aspera",27,9,2014,1.477861,-60.984778
"aspera",9,11,2014,4.596111,-60.158056
"aspera",9,11,2014,-4.596111,-60.158056
"aspera",20,3,2013,6.379417,-71.931833
"aspera",7,5,2013,-9.651667,-60.709444
"aspera",7,5,2013,-0.702222,-51.6
"aspera",7,5,2013,-9.653056,-65.171389
"aspera",10,8,2013,1.490083,-61
"aspera",12,8,2013,3.791389,-56.149722
"aspera",10,8,2013,-1.483333,-61
"aspera",12,8,2013,3.79144,-56.1496
"aspera",12,8,2013,3.79144,-56.14961
"aspera",12,11,2013,2.659426,-60.860145
"aspera",13,12,2013,0.818,-61.657
"aspera",25,6,2012,-1.063194,-46.752139
"aspera",7,7,2012,6.088917,-67.710389
"aspera",4,7,2012,6.069944,-67.753972
"aspera",5,10,2012,-1.478806,-60.969
"aspera",28,10,2012,-4.492356,-61.16415
"aspera",26,10,2012,-3.391944,-61.442139
"aspera",25,10,2012,-3.33825,-61.404056
"aspera",26,10,2012,-3.391944,-61.442222
"aspera",28,10,2012,-4.492222,-61.164167
"aspera",5,10,2012,-1.478889,-60.968889
"aspera",5,10,2012,-1.4789,-60.9689
"aspera",28,10,2012,-4.4922,-61.1642
"aspera",23,10,2012,-11.276475,-37.431192
"aspera",23,3,2011,1.049917,-61.25
"aspera",30,3,2011,-9.445833,-64.78
"aspera",23,3,2011,1.049917,-61.249667
"aspera",30,3,2011,-9.445833,-64.779722
"aspera",23,3,2011,-1.05,-61.25
"aspera",30,3,2011,-9.4458,-64.7797
"aspera",12,6,2011,-0.896111,-51.8875
"aspera",27,11,2011,-2.534444,-54.908056
"aspera",27,11,2011,-2.5344,-54.9081
