"name","lat","lon"
"aspera",0.424722,-60.187222
"aspera",2.42,-60.18
"aspera",-4.596111,-60.158056
"aspera",4.596111,-60.158056
"aspera",4.81667,-60.0167
"spruceana",-3.067324,-59.995308
"aspera",-15,-59.95
"aspera",3.38,-59.78
"aspera",3.43,-59.77
"aspera",3.46667,-59.68333
"aspera",3.3,-59.65
"aspera",2,-59.56667
"aspera",2.67,-59.42
"aspera",3.1,-59.4
"aspera",2.58,-59.37
"aspera",3.75,-59.3
"aspera",2.5,-59.28
"aspera",6.2,-59.25
"aspera",4.166667,-59.05
"aspera",4.79194,-58.97472
"aspera",3.88,-58.92
"aspera",4.097222,-58.875
"aspera",3.949722,-58.8675
"aspera",4.416667,-58.833333
"aspera",1.663889,-58.772222
"aspera",4.583333,-58.733333
"aspera",4.7364,-58.7017
"aspera",1.65,-58.63333
"aspera",6.5,-58.38
"aspera",6.41667,-58.25
"aspera",6.5,-58.1667
"aspera",6.58,-58.13
"aspera",5.36666,-58.11666
"aspera",5.72,-57.95
"aspera",5.916667,-57.9
"aspera",5.55,-57.66666
"aspera",5.6,-57.58333
"aspera",5.72,-57.53
"aspera",5.33,-57.35
"aspera",5.189167,-57.285278
"aspera",-7.5,-57.25
"aspera",3.33333,-56.81667
"aspera",0.333333,-56.816667
"aspera",-2.17505641973007,-56.7457052359991
"aspera",3.25,-56.65
"aspera",3.433,-56.625
"aspera",3.642,-56.533
"aspera",4.612,-56.507
"aspera",3.6,-56.5
"aspera",3.16666,-56.48333
"aspera",3.1,-56.46
"aspera",3.33333,-56.43333
"aspera",3.79144,-56.14961
"aspera",4.1006,-55.625
"aspera",-1.583333,-55.533333
"aspera",5.33,-55.5
"aspera",5.25,-55.33
"aspera",5.31,-55.26
"aspera",5.5417,-55.1917
"aspera",5.45,-55.19
"aspera",-0.220997,-55.16572
"aspera",-0.98333,-54.98333
"aspera",5.416667,-54.966667
"aspera",-2.483333,-54.95
"aspera",-2.5344,-54.9081
"aspera",5.33,-54.83
"aspera",5.53,-54.8
"aspera",2.48333,-54.75
"aspera",-1.714167,-54.748889
"aspera",-2.449614,-54.740486
"aspera",-2.031944,-54.206944
"aspera",-1.860556,-54.082778
"aspera",2.883333,-54.066667
"aspera",2.6,-54.01667
"aspera",-12,-54
"aspera",2.5,-53.83333
"spruceana",-11.8311,-53.4231
