"specificEpithet","day","month","year","lat","lon","identifiedBy"
"aegopogon",19,1,2015,-19.682778,-46.445,"ANA LUIZA FREITAS"
"aegopogon",5,3,2015,-11.22333,-47.566111,"Meyer, F.S."
"aegopogon",6,3,2015,-11.69421,-47.70079,"Meyer, F. S."
"aegopogon",5,3,2015,-11,-47,"F.S. Meyer"
"aegopogon",17,1,2012,-15.930833,-47.901944,"Meyer, FS"
"aegopogon",24,3,2012,-13.9295,-47.4305,"Meyer, FS"
"aegopogon",17,3,2012,-16.799314,-47.567975,"Meyer, FS"
"aegopogon",21,3,2012,-14.219444,-47.737222,"Ana Luiza Freitas Oliveira"
"aegopogon",24,3,2012,-13.929444,-47.430278,"Ana Luiza Freitas Oliveira"
"aegopogon",17,3,2012,-16.475753,-47.340471,"Meyer, F.S."
"aegopogon",8,4,2010,-18.611389,-48.304722,"Freitas, A.L."
"aegopogon",17,10,2006,-14.235278,-47.905833,"Freitas-Oliveira, AL"
"aegopogon",18,1,2005,-15.824722,-48.906667,"Freitas, A.L."
"aegopogon",5,4,2004,-14.072694,-47.509333,"Guimar„es, PJF"
"aegopogon",20,2,2003,-18.066944,-47.272222,"Freitas, A.L."
"aegopogon",29,11,2003,-20.434444,-46.653333,"Freitas-Oliveira, AL"
"aegopogon",20,1,2002,-17.422833,-47.795583,"Freitas-Oliveira, AL"
"aegopogon",5,12,2002,-20.434444,-46.653333,"Romero, R."
"aegopogon",5,12,2002,-20.335,-46.812778,"Romero, R."
"aegopogon",6,12,2002,-20.3425,-46.767222,"Romero, R."
"aegopogon",20,3,2000,-16.745944,-47.694667,"Guimar„es, PJF"
"aegopogon",30,11,1999,-14.56667,-48.69917,"A. L. Freitas"
"aegopogon",5,12,1999,-15.066667,-50.166667,"Guimar„es, PJF"
"aegopogon",5,12,1999,-15.066667,-50.166667,"J.G.Freitas & P.Guimar„es"
"aegopogon",22,1,1998,-15.9,-48,"P. J. F. Guimar„es"
"aegopogon",NA,11,1996,-14.404444,-48.416389,"Guimar„es, PJF"
"aegopogon",20,12,1996,-15.583333,-47.883333,"Guimar„es, PJF"
"aegopogon",19,1,1994,-15.8,-47.96667,"P. J. F. Guimar„es"
"aegopogon",12,1,1994,-20.267222,-46.415556,"Romero, R"
"aegopogon",7,2,1994,-15.483935,-47.639318,"J. J. Wurdack"
"aegopogon",21,3,1994,-10.124444,-48.270556,"Guimar„es, P"
"aegopogon",6,12,1994,-19.8694005837072,-47.4401506543322,"R. Romero"
"aegopogon",6,11,1993,-14.82333,-60.38611,"J.J. Wurdack"
"aegopogon",9,3,1992,-13.466667,-48.383333,"Ana Luiza Freitas Oliveira"
"aegopogon",4,1,1990,-15.911111,-47.914167,"Freitas, AL"
"aegopogon",9,1,1990,-15.965,-47.898611,"Freitas, AL"
"aegopogon",10,1,1990,-15.951944,-47.893611,"Freitas, AL"
"aegopogon",13,11,1990,-15.75,-48.3,"P. J. F. Guimar„es"
"aegopogon",8,2,1987,-13.733333,-47.25,"Meyer, FS"
"aegopogon",8,2,1987,-13.733333,-47.25,"Freitas, A.L."
"aegopogon",4,2,1987,-16.766667,-47.616667,"Wurdack, J.J."
"aegopogon",4,2,1987,-16.766667,-47.616667,"Wurdack, JJ"
"aegopogon",7,12,1987,-15.8525,-48.9592,"Guimar„es, PJF"
"aegopogon",13,11,1986,-16.7686,-47.6136,"Guimar„es, PJF"
"aegopogon",15,2,1982,-15.566667,-48.033333,"Guimar„es, PJF"
"aegopogon",14,1,1981,-15.9236,-48.8086,"Wurdack, JJ"
"aegopogon",NA,1,1980,-14.116667,-47.516667,"Wurdack, JJ"
"aegopogon",23,1,1979,-14,-47,"Freitas, GA"
"aegopogon",NA,1,1979,-14.116667,-47.516667,"Wurdack, JJ"
"aegopogon",23,1,1979,-14,-47,"J. J. Wurdack"
"aegopogon",27,12,1979,-15.7834208090807,-47.9298726661488,"J. J. Wurdack"
"aegopogon",11,4,1976,-15.866667,-47.85,"Wurdack, JJ"
"aegopogon",28,11,1976,-14.1361863978701,-47.5101417129434,"J. J. Wurdack"
"aegopogon",21,12,1974,-17.8,-48.75,"Wurdack, JJ"
"aegopogon",21,12,1974,-17.8,-48.75,"J. Wurdack"
"aegopogon",4,4,1973,-16.7686,-47.6136,"Wurdack, JJ"
"aegopogon",4,4,1973,-16.823742555015,-47.6704580401791,"J. J. Wurdack"
"aegopogon",16,1,1972,-15.8525,-48.9592,"Wurdack, JJ"
"aegopogon",15,1,1972,-15.8525,-48.9592,"Wurdack, JJ"
"aegopogon",15,1,1972,-15.8525,-48.9592,"Todzia, CA"
"aegopogon",21,1,1972,-14.4739,-48.4597,"Todzia, CA"
"aegopogon",23,1,1972,-14.4739,-48.4597,"Todzia, CA"
"aegopogon",15,1,1972,-15.85,-48.85664,"C. A. Todzia"
"aegopogon",23,1,1972,-14.5223,-48.45,"C. A. Todzia"
"aegopogon",17,1,1972,-15.7981191657884,-48.7761282105302,"C. A. Todzia"
"aegopogon",20,3,1971,-14.116667,-47.516667,"Todzia, CA"
