"name","lat","lon","identifiedBy","splink_ident_extract"
"aegopogon",-16.7686,-47.6136,"Guimar„es, PJF",1202
"albescens",-14.120864,-47.653017,"Meyer, FS",1248
"albescens",-14.071511,-47.391086,"Meyer, F.S.",815
"albescens",-15.85,-52.267,"Meyer, F. S.",519
"albescens",-13.566944,-45.084722,"Freitas, A.L.",727
"albescens",-14.133333,-47.45,"Guimar„es, PJF",1252
"albescens",-14.55,-60.916667,"C. A. Todzia (TEX)",220
"albescens",-13.766667,-47.5,"Guimar„es, PJF",948
"albescens",-14.58194,-60.84111,"C. A. Todzia (TEX)",222
"albescens",-14.116667,-47.516667,"Wurdack, J",1319
"albescens",-14.116667,-47.516667,"Wurdack, J",1319
"albescens",-14.116667,-47.516667,"Wurdack, J",1319
"albescens",-14.116667,-47.516667,"Wurdack, JJ",1319
"albescens",-14.116667,-47.5,"Guimar„es, PJF",1319
"albescens",-14.116667,-47.516667,"Guimar„es, PJF",1319
"albescens",-14,-47,"Meyer, FS",454
"albescens",-14.1103,-47.5103,"C. A. Todzia",1319
"albescens",-14.0755,-47.4754,"C. A. Todzia",1132
"albescens",-14.104,-47.4658,"J. J. Wurdack",1179
"albescens",-13.8162297263192,-47.2651251433805,"C. A. Todzia",895
"albescens",-14.116667,-47.516667,"Todzia, CA",1319
"albescens",-14.1167,-47.5167,"C. A. Todzia",1319
"albescens",-14.38,-47.53,"J. J. Wurdack",1118
"albescens",-14,-47,"Guimar„es, PJF",454
"albescens",-14.1167,-47.65562,"F. S. Meyer",1248
"albescens",-14.1167,-47.52596,"J. J. Wurdack",1319
"albescens",-14.116667,-47.516667,"Wurdack, JJ",1319
"aspera",-2.424906,-48.42,"Freitas, M.G.O.",42
"aspera",-4.596111,-60.158056,"Meyer, F.S.",43
"aspera",-3.391944,-61.442222,"M.J.R. Rocha et P.J. Guimar„es",40
"aspera",-4.492222,-61.164167,"M.J.R. Rocha et P.J. Guimar„es",48
"aspera",-3.391944,-61.442222,"M.J.R. Rocha e P.J. Guimar„es",40
"aspera",-4.4922,-61.1642,"M. J. R. Rocha; P. J. F. Guimar„es",48
"aspera",-9.4458,-64.7797,"F. S. Meyer",106
"aspera",-0.5767,-51.1758,"F. S. Meyer",20
"aspera",-4.083333,-41.733333,"Meyer, FS",172
"aspera",-5.026461,-42.420771,"J.G. Freitas; Guimar„es",172
"aspera",3.433333,-59.766667,"Wurdack, JJ",85
"aspera",3.43333,-59.76666,"J.J. Wurdack",85
"aspera",6.5,-58.16666,"J. Wurdack",20
"aspera",6.5,-58.1667,"J. J. Wurdack",28
"aspera",4.81667,-60.0167,"Wurdack, J. J., (US), US (UNITED STATES)",655
"aspera",4.36,-67.73,"Wurdack, J. J., (US), US (UNITED STATES)",109
"aspera",5.4,-67.61,"Wurdack, J. J., (US), US (UNITED STATES)",151
"aspera",4.9,-68.33333,"Guimar„es",100
"aspera",4.55,-71.33333,"Guimar„es",170
"aspera",-8.266667,-72.78,"Todzia, C.A.",218
"aspera",-8.26666,-72.78333,"C. Todzia",218
"aspera",-8.27,-72.78,"C. A. Todzia",218
"aspera",5.41,-53.06,"Wurdack, J. J., (US), US (UNITED STATES)",15
"aspera",5.36666,-58.11666,"J.J. Wurdack",47
"aspera",1.65,-58.63333,"J.J. Wurdack",242
"aspera",7.11,-63.23,"Wurdack, J. J., (US), US (UNITED STATES)",284
"aspera",5.15,-67.75,"Wurdack, J. J., (US), US (UNITED STATES)",88
"aspera",5.55,-57.66666,"J. j. Wurdack",32
"aspera",5.316667,-61.05,"J.J. Wurdack",1010
"aspera",5,-61.16666,"J.J. Wurdack",930
"aspera",3.88,-58.91,"Guimar„es, P. J. F.",81
"aspera",5.6,-57.58,"Wurdack, J. J., (US), US (UNITED STATES)",17
"aspera",-10.73,-65.25,"J. J. Wurdack",182
"aspera",-12.45,-67.616667,"J.J. Wurdack (US)",181
"aspera",4.1642,-60.58,"Wurdack, J.J.",113
"aspera",2.883333,-54.07,"Wurdack, J.J.",189
"aspera",1.3,-60.58,"Wurdack, J.J.",77
"aspera",1.3,-60.58333,"J.J. Wurdack",77
"aspera",2.88,-54.06,"Wurdack, J. J., (US), US (UNITED STATES)",189
"aspera",-10.733333,-65.25,"Wurdack, J.J.",182
"aspera",-10.73333,-65.25,"J. Wurdack",182
"aspera",-1.083333,-53.17,"Wurdack, J.J.",147
"aspera",-3.03,-60.58,"J. J. Wurdack",14
"aspera",3.61,-53.2,"Todzia, C. A., (TEX), University of Texas Austin",232
"aspera",-2.666667,-60.33,"Wurdack, J.J.",31
"aspera",-2.666667,-60.333333,"J. J. Wurdack",31
"aspera",4.66666,-61.55,"J. Wurdack",961
"aspera",5.71666,-57.53333,"J J. Wurdack",18
"aspera",3.1,-59.4,"Wurdack, J. J., (US), US (UNITED STATES)",397
"aspera",5.3,-69.01666,"J. Wurdack (US)",90
"aspera",4.5,-61.58333,"J. Wurdack",862
"aspera",4.5,-61.5,"Carol A Todzia (TEX)",984
"aspera",4.2,-51.65,"Wurdack, J. J., (US), US (UNITED STATES)",24
"aspera",4.81,-67.43,"Wurdack, J. J., (US), US (UNITED STATES)",109
"aspera",4.36,-61.75,"Wurdack, J. J., (US), US (UNITED STATES)",570
"aspera",4.31666,-61.73333,"J.J. Wurdack (US)",497
"aspera",7.35,-62.71,"Wurdack, J. J., (US), US (UNITED STATES)",274
"aspera",13.53333,-84.23333,"C.A. Todzia",27
"aspera",14.01666,-83.4,"C.A. Todzia",6
"aspera",7.46666,-63.23333,"Wurdack",389
"aspera",11.983333,-83.766667,"C.A. Todzia, 2002 (TEX)",10
"aspera",-0.98333,-54.98333,"J.J. Wurdack",321
"aspera",-7.516667,-63.166667,"Paulo Guimar„es",71
"aspera",-1.05,-48.12,"Wurdack, J.J.",34
"aspera",-1.05,-48.116667,"J.J. Wurdack",34
"aspera",-1.05,-48.116667,"J. J. Wurdack",34
"aspera",5.36666,-67.55,"J.J. Wurdack",181
"aspera",-2.17505641973007,-56.7457052359991,"J. J. Wurdack",6
