"specificEpithet","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aegopogon",2,3,1966,-17,-48,"103571","Instituto de Botânica, IBT","gbif"
"aegopogon",2,3,1966,-16.72289,-47.6,"00941533","NY","gbif"
"aegopogon",6,4,1966,-14,-46,"103474","Instituto de Botânica, IBT","gbif"
"aegopogon",6,4,1966,-14.13,-46.37,"00748891","NY","gbif"
"aegopogon",6,4,1966,-14.0931,-46.3694,"100350","UnB","gbif"
"aegopogon",5,11,1965,-16.73193,-47.6,"00941526","NY","gbif"
"aegopogon",10,11,1965,-16,-48,"00941527","NY","gbif"
"aegopogon",2,12,1965,-16.0357639586557,-48.8091309966958,"00941531","NY","gbif"
"aegopogon",9,12,1965,-15.7834208090807,-47.9298726661488,"00941528","NY","gbif"
"aegopogon",2,12,1965,-15.9236,-48.8086,"100353","UnB","gbif"
"aegopogon",14,12,1965,-15.7834208090807,-47.9298726661488,"00941549","NY","gbif"
"aegopogon",2,12,1965,-16,-49,"103363","Instituto de Botânica, IBT","gbif"
"aegopogon",12,12,1965,-15.8,-47.82397,"00941529","NY","gbif"
"aegopogon",19,10,1963,-15.7834208090807,-47.9298726661488,"00941547","NY","gbif"
"aegopogon",4,1,1961,-15.7834208090807,-47.9298726661488,"00941552","NY","gbif"
"aegopogon",NA,NA,NA,-14.116667,-47.516667,"100482","UnB","gbif"
"aegopogon",NA,NA,NA,-16.7686,-47.6136,"101488","UnB","gbif"
"aegopogon",NA,NA,NA,-15.75,-48.3,"15844","Cenargen","gbif"
"aegopogon",NA,NA,NA,-14.56667,-48.69917,"64602","Cenargen","gbif"
"aegopogon",NA,NA,NA,-15.9,-48,"32230","Cenargen","gbif"
"aegopogon",NA,NA,NA,-15.8,-47.96667,"20172","Cenargen","gbif"
"aegopogon",NA,NA,NA,-15.8525,-48.9592,"100372","UnB","gbif"
"aegopogon",9,1,1996,-20.3439,-46.8539,"ESA026107","ESALQ","spLink"
"aegopogon",21,2,1997,-15.89,-52.2567,"ESA065392","ESALQ","spLink"
"aegopogon",18,1,2005,-15.824722,-48.906667,"ESA089596","ESALQ","spLink"
"aegopogon",5,12,1999,-16.1267,-50.215,"ESA098665","ESALQ","spLink"
"aegopogon",NA,NA,NA,-19.690239,-44.096503,"BM000953966","NHMLondon","spLink"
"aegopogon",21,12,1974,-17.8,-48.75,"3271833","MOBOT","spLink"
"aegopogon",28,1,1968,-15.88,-48.95,"748867","NYBG","spLink"
"aegopogon",6,4,1966,-14.13,-46.37,"748891","NYBG","spLink"
"aegopogon",5,11,1965,-16.73193,-47.6,"941526","NYBG","spLink"
"aegopogon",10,11,1965,-16,-48,"941527","NYBG","spLink"
"aegopogon",9,12,1965,-15.7797,-47.9294,"941528","NYBG","spLink"
"aegopogon",12,12,1965,-15.8,-47.82397,"941529","NYBG","spLink"
"aegopogon",19,1,1966,-16.0611,-50.00122,"941530","NYBG","spLink"
"aegopogon",2,12,1965,-16.03204,-48.8086,"941531","NYBG","spLink"
"aegopogon",9,2,1966,-14.1167,-47.70192,"941532","NYBG","spLink"
"aegopogon",2,3,1966,-16.72289,-47.6,"941533","NYBG","spLink"
"aegopogon",15,1,1968,-15.8,-48.77,"941534","NYBG","spLink"
"aegopogon",18,3,1968,-8.93,-48.52,"941535","NYBG","spLink"
"aegopogon",17,3,1969,-13.74613,-47.5167,"941536","NYBG","spLink"
"aegopogon",23,1,1970,-17.99421,-47.76956,"941537","NYBG","spLink"
"aegopogon",5,2,1970,-17.22555,-46.8727,"941538","NYBG","spLink"
"aegopogon",8,2,1970,-17.05385,-47.1541,"941539","NYBG","spLink"
"aegopogon",25,2,1970,-15.73555,-47.6874,"941540","NYBG","spLink"
"aegopogon",20,3,1971,-13.94497,-47.5167,"941541","NYBG","spLink"
"aegopogon",15,1,1972,-15.85,-48.85664,"941542","NYBG","spLink"
"aegopogon",23,1,1972,-14.5223,-48.45,"941543","NYBG","spLink"
"aegopogon",17,1,1972,-15.7944,-48.7756,"941544","NYBG","spLink"
"aegopogon",21,1,1972,-14.58557,-48.45,"941545","NYBG","spLink"
"aegopogon",4,4,1973,-16.82,-47.67,"941546","NYBG","spLink"
"aegopogon",19,10,1963,-15.7797,-47.9294,"941547","NYBG","spLink"
"aegopogon",28,11,1976,-14.1325,-47.5097,"941548","NYBG","spLink"
"aegopogon",14,12,1965,-15.7797,-47.9294,"941549","NYBG","spLink"
"aegopogon",23,1,1979,-14,-47,"941550","NYBG","spLink"
"aegopogon",27,12,1979,-15.7797,-47.9294,"941551","NYBG","spLink"
"aegopogon",4,1,1961,-15.7797,-47.9294,"941552","NYBG","spLink"
"aegopogon",6,12,1994,-19.8656,-47.4397,"941553","NYBG","spLink"
"aegopogon",NA,NA,NA,-15.75,-48.3,"15844","Cenargen","spLink"
"aegopogon",NA,NA,NA,-15.8,-47.96667,"20172","Cenargen","spLink"
"aegopogon",NA,NA,NA,-15.9,-48,"32230","Cenargen","spLink"
"aegopogon",NA,NA,NA,-15.7797,-47.9297,"369","Cenargen","spLink"
"aegopogon",NA,NA,NA,-14.56667,-48.69917,"64602","Cenargen","spLink"
"aegopogon",NA,NA,NA,-15.7797,-47.9297,"7322","Cenargen","spLink"
"aegopogon",18,1,1992,-15.89000034,-52.25669861,"81659","UFPR","spLink"
"aegopogon",5,3,2015,-11.22333,-47.566111,"82564","UFPR","spLink"
"aegopogon",6,3,2015,-11.69421,-47.70079,"82592","UFPR","spLink"
"aegopogon",17,3,2012,-16.475753,-47.340471,"90064","UFPR","spLink"
"aegopogon",7,2,1994,-15.483935,-47.639318,"25309","ASU","spLink"
"aegopogon",30,1,1981,-19.86529922,-47.43999863,"61","UFU","spLink"
"aegopogon",23,11,1996,-19.86529922,-47.43999863,"23969","UFU","spLink"
"aegopogon",11,1,1998,-20.24530029,-46.36579895,"23970","UFU","spLink"
"aegopogon",7,2,1994,-15.4527998,-47.61420059,"24296","UFU","spLink"
"aegopogon",14,12,2001,-17.74169922,-48.625,"26174","UFU","spLink"
"aegopogon",5,12,2002,-20.434444,-46.653333,"29533","UFU","spLink"
"aegopogon",5,12,2002,-20.335,-46.812778,"29593","UFU","spLink"
"aegopogon",6,12,2002,-20.3425,-46.767222,"29730","UFU","spLink"
"aegopogon",6,1,2001,-17.74169922,-48.625,"31697","UFU","spLink"
"aegopogon",20,2,2003,-18.066944,-47.272222,"40020","UFU","spLink"
"aegopogon",5,11,2002,-16.25250053,-47.95029831,"40048","UFU","spLink"
"aegopogon",NA,3,2007,-20.24530029,-46.36579895,"47729","UFU","spLink"
"aegopogon",7,11,2007,-20.61529922,-46.04999924,"49194","UFU","spLink"
"aegopogon",2,4,2008,-17.63310051,-47.77830124,"52991","UFU","spLink"
"aegopogon",8,4,2010,-18.611389,-48.304722,"58936","UFU","spLink"
"aegopogon",21,3,2012,-14.13249969,-47.50999832,"63871","UFU","spLink"
"aegopogon",20,3,2012,-14.13249969,-47.50999832,"63876","UFU","spLink"
"aegopogon",8,2,1987,-13.733333,-47.25,"63941","UFU","spLink"
"aegopogon",19,10,1987,-14.13249969,-47.50999832,"63943","UFU","spLink"
"aegopogon",4,2,1987,-16.766667,-47.616667,"63945","UFU","spLink"
"aegopogon",6,12,1994,-20.24530029,-46.36579895,"6862","UFU","spLink"
"aegopogon",6,12,1994,-20.24530029,-46.36579895,"6885","UFU","spLink"
"aegopogon",9,12,1994,-20.24530029,-46.36579895,"7137","UFU","spLink"
"aegopogon",9,1,1995,-20.24530029,-46.36579895,"7256","UFU","spLink"
"aegopogon",29,12,2002,-15.85249996,-48.95920181,"168","UEG-UNUCET","spLink"
"aegopogon",10,10,2003,-16.32670021,-48.95280075,"2114","UEG-UNUCET","spLink"
"aegopogon",19,11,2003,-16.32670021,-48.95280075,"425","UEG-UNUCET","spLink"
"aegopogon",18,11,2003,-16.32670021,-48.95280075,"432","UEG-UNUCET","spLink"
"aegopogon",19,11,2003,-16.32670021,-48.95280075,"433","UEG-UNUCET","spLink"
"aegopogon",24,1,2006,-15.85249996,-48.95920181,"4965","UEG-UNUCET","spLink"
"aegopogon",29,11,2002,-15.85249996,-48.95920181,"6296","UEG-UNUCET","spLink"
"aegopogon",6,4,1966,-14.0931,-46.3694,"100350","UnB","spLink"
"aegopogon",15,1,1972,-15.8525,-48.9592,"100351","UnB","spLink"
"aegopogon",16,1,1972,-15.8525,-48.9592,"100352","UnB","spLink"
"aegopogon",2,12,1965,-15.9236,-48.8086,"100353","UnB","spLink"
"aegopogon",15,1,1968,-15.9236,-48.8086,"100354","UnB","spLink"
"aegopogon",4,4,1973,-16.7686,-47.6136,"100355","UnB","spLink"
"aegopogon",21,12,1974,-17.8,-48.75,"100356","UnB","spLink"
"aegopogon",14,1,1981,-15.9236,-48.8086,"100357","UnB","spLink"
"aegopogon",NA,1,1979,-14.116667,-47.516667,"100359","UnB","spLink"
"aegopogon",NA,NA,1968,-16.7686,-47.6136,"100360","UnB","spLink"
"aegopogon",NA,1,1980,-14.116667,-47.516667,"100361","UnB","spLink"
"aegopogon",2,2,1967,-16.7686,-47.6136,"100362","UnB","spLink"
"aegopogon",NA,NA,1968,-15.8525,-48.9592,"100363","UnB","spLink"
"aegopogon",15,1,1972,-15.8525,-48.9592,"100364","UnB","spLink"
"aegopogon",20,3,1971,-14.116667,-47.516667,"100366","UnB","spLink"
"aegopogon",23,1,1972,-14.4739,-48.4597,"100367","UnB","spLink"
"aegopogon",21,1,1972,-14.4739,-48.4597,"100368","UnB","spLink"
"aegopogon",NA,NA,NA,-15.8525,-48.9592,"100372","UnB","spLink"
"aegopogon",NA,11,1996,-14.404444,-48.416389,"100457","UnB","spLink"
"aegopogon",13,11,1986,-16.7686,-47.6136,"100461","UnB","spLink"
"aegopogon",7,12,1987,-15.8525,-48.9592,"100463","UnB","spLink"
"aegopogon",NA,NA,NA,-14.116667,-47.516667,"100482","UnB","spLink"
"aegopogon",4,1,1961,-15.77970028,-47.92969894,"101337","UnB","spLink"
"aegopogon",12,12,1965,-15.77970028,-47.92969894,"101341","UnB","spLink"
"aegopogon",11,12,1965,-15.77970028,-47.92969894,"101342","UnB","spLink"
