"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-6.616667,-45.883333,"64701","UFPR","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-10.773109,-53.08982,"BM000953968","NHMUK","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-14.4739,-48.4597,"100445","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-13.96667,-48.3,"25013","Cenargen","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-13.46667,-48.38333,"17907","Cenargen","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-6.616667,-45.883333,"64702","UFPR","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-13.81667,-48.43333,"27922","Cenargen","gbif"
"verticillaris","Tibouchina verticillaris",21,3,1997,-11.6172,-50.6694,"ESA044298","ESALQ","spLink"
"verticillaris","Tibouchina verticillaris",14,3,1997,-11.3431,-50.5837,"ESA044312","ESALQ","spLink"
"verticillaris","Tibouchina verticillaris",18,1,1999,-14.6733,-52.3531,"ESA062984","ESALQ","spLink"
"verticillaris","Tibouchina verticillaris",20,2,1997,-15.89,-52.2567,"ESA065697","ESALQ","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-10.773109,-53.08982,"BM000953968","NHMLondon","spLink"
"verticillaris","Tibouchina verticillaris",31,1,1980,-14.568,-49.51,"2673154","MOBOT","spLink"
"verticillaris","Tibouchina verticillaris",13,1,1968,-15.8,-48.77,"748812","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",19,1,1972,-15.85,-48.75395,"748837","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",13,3,1973,-13.47,-47.23,"941864","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",21,1,1966,-16.15922,-50.1333,"941865","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",25,1,1970,-17.84727,-47.61584,"941866","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",24,1,1972,-14.54942,-48.45,"941867","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",27,2,1980,-6.82,-47.82,"941868","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",31,1,1980,-8.5006,-48.6008,"941869","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",11,3,1973,-13.45,-47.23,"941871","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",11,3,1973,-13.27,-47.22,"941872","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",14,1,1968,-15.85,-52.25,"941873","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",10,2,1980,-15.92,-50.15,"941874","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",13,4,1973,-18.03476,-43.3833,"941876","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",18,3,1968,-8.93,-48.52,"941880","NYBG","spLink"
"verticillaris","Tibouchina verticillaris",31,1,1980,-3.416667,-48.616667,"119763","INPA","spLink"
"verticillaris","Tibouchina verticillaris",10,2,1980,-15.916667,-50.15,"121949","INPA","spLink"
"verticillaris","Tibouchina verticillaris",27,2,1980,-6.816667,-47.816667,"122753","INPA","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-13.46667,-48.38333,"17907","Cenargen","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-13.96667,-48.3,"25013","Cenargen","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-13.81667,-48.43333,"27922","Cenargen","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-14.4739,-48.4597,"31957","Cenargen","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-6.616667,-45.883333,"64701","UFPR","spLink"
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-6.616667,-45.883333,"64702","UFPR","spLink"
"verticillaris","Tibouchina verticillaris",4,3,2011,-9.69,-52.606,"78693","UFPR","spLink"
