"specificEpithet","scientificName","day","month","year","latitude","longitude"
"aspera","Tibouchina aspera Aubl.",22,9,1963,3.16666,-56.48333
"aspera","Tibouchina aspera Aubl.",22,9,1963,3.1,-56.46
"aspera","Tibouchina aspera Aubl.",16,9,1961,0.73,-51.37
"aspera","Tibouchina aspera Aubl.",8,7,1960,-0.03,-51.08
"aspera","Tibouchina aspera Aubl.",18,4,1956,3.38,-59.78
"aspera","Tibouchina aspera Aubl.",6,7,1954,-2.93778648539846,-44.2352209866645
"aspera","Tibouchina aspera Aubl.",31,12,1954,4.98,-60.61
"aspera","Tibouchina aspera Aubl.",16,2,1951,4.41,-65.83
"aspera","Tibouchina aspera Aubl.",22,1,1950,-1.03515,-48.125749
"aspera","Tibouchina aspera Aubl.",17,11,1948,-0.8583,-48.1417
"aspera","Tibouchina aspera",4,10,1987,-10.733333,-65.25
"aspera","Tibouchina aspera",29,3,1980,-1.05,-48.1166667
"aspera","Tibouchina aspera",25,8,1987,1.3,-60.58333
"aspera","Tibouchina aspera",NA,NA,1987,-10.73333,-65.25
"aspera","Tibouchina aspera",4,8,1981,-0.98333,-54.98333
"aspera","Tibouchina aspera",22,3,1992,-8.26666,-72.78333
"aspera","Tibouchina aspera",6,7,1954,-2.9344,-44.235
"aspera","Tibouchina aspera",17,11,1948,-0.858333,-48.1417
"aspera","Tibouchina aspera",21,4,1986,-3.03,-60.58
"aspera","Tibouchina aspera",13,8,1980,-2.1717,-56.7447
"aspera","Tibouchina aspera",29,3,1980,-1.05,-48.1166669
"aspera","Tibouchina aspera",10,4,1987,-10.73,-65.25
"aspera","Tibouchina aspera",4,8,1986,-2.666667,-60.333333
"aspera","Tibouchina aspera",22,3,1992,-8.27,-72.78
"aspera","Tibouchina aspera",30,3,2011,-9.4458,-64.7797
"aspera","Tibouchina aspera",21,7,2010,-0.5767,-51.1758
"aspera","Tibouchina aspera",29,3,1980,-1.05,-48.116667
"aspera","Tibouchina aspera",26,3,1986,-1.083333,-53.166667
"aspera","Tibouchina aspera",25,8,1987,1.3,-60.583333
"aspera","Tibouchina aspera",22,3,1992,-8.266667,-72.783333
"aspera","Tibouchina aspera",23,10,1993,-8.6,-61.416667
"aspera","Tibouchina aspera",12,1,1998,2.81972,-60.6733
"aspera","Tibouchina aspera",17,8,2000,-2.00306,-49.8544
"aspera","Tibouchina aspera",15,8,1987,2.883333,-54.066667
"aspera","Tibouchina aspera",12,1,1969,2.416667,-60.183333
"aspera","Tibouchina aspera",22,1,1950,-0.858333,-48.1417
"aspera","Tibouchina aspera",13,9,1980,-2.17139,-56.745
"aspera","Tibouchina aspera",9,11,2014,-4.596111,-60.158056
"aspera","Tibouchina aspera",3,6,2010,-4.858890057,-43.35609818
