"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"barbigera","Tibouchina barbigera",4,1,2007,-15.923333,-49.231667,"63204","UFU","spLink"
"barbigera","Tibouchina barbigera",12,3,2004,-13.648056,-46.596111,"63433","UFU","spLink"
"barbigera","Tibouchina barbigera",3,4,2009,-18.606389,-48.303611,"69647","UFU","spLink"
"barbigera","Tibouchina barbigera",7,4,1995,-18.91860008,-48.27719879,"8573","UFU","spLink"
"barbigera","Tibouchina barbigera",10,2,1986,-16.6786,-49.2539,"100586","UnB","spLink"
"barbigera","Tibouchina barbigera",25,5,1967,-15.53719997,-47.33440018,"106525","UnB","spLink"
"barbigera","Tibouchina barbigera",25,2,1987,-17.833333,-55.333333,"106527","UnB","spLink"
"barbigera","Tibouchina barbigera",25,5,1968,-12.9,-51.866667,"106528","UnB","spLink"
"barbigera","Tibouchina barbigera",25,5,1976,-15.85249996,-48.95920181,"106533","UnB","spLink"
"barbigera","Tibouchina barbigera",19,4,1999,-14.67329979,-52.35309982,"106546","UnB","spLink"
"barbigera","Tibouchina barbigera",3,8,1997,-6.666667,-44.7,"134504","UnB","spLink"
"barbigera","Tibouchina barbigera",7,3,1982,-15.59609985,-56.09669876,"134505","UnB","spLink"
"barbigera","Tibouchina barbigera",7,4,1995,-18.91860008,-48.27719879,"134694","UnB","spLink"
"barbigera","Tibouchina barbigera",25,3,1993,-18.91860008,-48.27719879,"134695","UnB","spLink"
"barbigera","Tibouchina barbigera",14,6,1997,-13.866667,-56.533333,"202044","UnB","spLink"
"barbigera","Tibouchina barbigera",20,1,2001,-13.529444,-47.0675,"37322","UnB","spLink"
"barbigera","Tibouchina barbigera",NA,3,2005,-16.518806,-49.146111,"88617","UnB","spLink"
"barbigera","Tibouchina barbigera",28,4,2000,-15.77970028,-47.92969894,"8901","UnB","spLink"
"barbigera","Tibouchina barbigera",19,4,1983,-15.583333,-47.916667,"","UnB","spLink"
"barbigera","Tibouchina barbigera",21,3,1994,-10.124444,-48.270556,"9832","JBB","spLink"
"barbigera","Tibouchina barbigera",25,5,1966,-14.67329979,-52.35309982,"103339","IBt","spLink"
"barbigera","Tibouchina barbigera",5,6,1966,-14.67329979,-52.35309982,"103476","IBt","spLink"
"barbigera","Tibouchina barbigera",7,4,1995,-18.91860008,-48.27719879,"290676","IBt","spLink"
"barbigera","Tibouchina barbigera",19,2,2010,-16.851944,-49.239167,"168964","UEFS","spLink"
"barbigera","Tibouchina barbigera",22,4,2005,-15.490556,-57.195556,"96713","UEFS","spLink"
"barbigera","Tibouchina barbigera",17,6,1998,-14.13249969,-47.50999832,"101855","UNICAMP","spLink"
"barbigera","Tibouchina barbigera",30,3,2005,-16.32128,-49.171,"145478","UNICAMP","spLink"
"barbigera","Tibouchina barbigera",29,3,2005,-16.31077,-49.0846,"145479","UNICAMP","spLink"
"barbigera","Tibouchina barbigera",31,3,1980,-15.77970028,-47.92969894,"150717","UNICAMP","spLink"
"barbigera","Tibouchina barbigera",17,7,2000,-11.3939,-47.4224,"180930","UNICAMP","spLink"
"barbigera","Tibouchina barbigera",6,5,1996,-15.86559963,-56.0766983,"95054","UNICAMP","spLink"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naud.) Baill.",NA,NA,NA,-13.52,-56.32,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",24,1,1968,-12.8166666666667,-51.7666666666667,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",18,4,1988,-14.85,-48.8666666666667,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",1,4,1968,-14.6333333333333,-52.2333333333333,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naud.) Baill.",NA,NA,NA,-15.0536111111111,-52.2583333333333,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",12,3,2004,-13.3852777777778,-46.3547222222222,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naud.) Baill.",NA,NA,NA,-13.51,-56.29,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naud.) Baill.",NA,NA,NA,-14.35,-55.57,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",4,1,2007,-15.5525,-49.1352777777778,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",3,4,2009,-18.3622222222222,-48.1813888888889,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naud.) Baill.",NA,NA,NA,-12.6344444444444,-56.335,NA,NA,"reflora"
"barbigera","MELASTOMATACEAE Tibouchina barbigera (Naudin) Baill.",18,3,2012,-16.0358333333333,-50.1041666666667,NA,NA,"reflora"
