"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"melastomoides","Tibouchina melastomoides",17,10,2006,-14.235278,-47.905833,"63944","UFU","spLink"
"melastomoides","Tibouchina melastomoides",14,4,2002,-15.85249996,-48.95920181,"164","UEG-UNUCET","spLink"
"melastomoides","Tibouchina melastomoides",8,3,1969,-13.7975,-47.4583,"100559","UnB","spLink"
"melastomoides","Tibouchina melastomoides",8,5,2001,-10.55,-46.75,"106992","UnB","spLink"
"melastomoides","Tibouchina melastomoides",10,5,1963,-15.77970028,-47.92969894,"106996","UnB","spLink"
"melastomoides","Tibouchina melastomoides",15,5,2006,-15.798889,-48.818611,"112701","UnB","spLink"
"melastomoides","Tibouchina melastomoides",11,9,1996,-14.161111,-47.790833,"142847","UnB","spLink"
"melastomoides","Tibouchina melastomoides",20,5,2004,-13.823083,-47.457639,"37023","UnB","spLink"
"melastomoides","Tibouchina melastomoides",13,4,1994,-10.283333,-48.216667,"9272","JBB","spLink"
"melastomoides","Tibouchina melastomoides",28,4,1996,-15.85249996,-48.95920181,"18219","UFG","spLink"
"melastomoides","Tibouchina melastomoides",15,5,2006,-15.798889,-48.818611,"42367","UFG","spLink"
"melastomoides","Tibouchina melastomoides",18,4,2002,-13.79749966,-47.45830154,"21268","UFOP","spLink"
"melastomoides","Tibouchina melastomoides",21,7,1995,-13.966667,-48.3,"315396","IBt","spLink"
"melastomoides","Tibouchina melastomoides",28,11,1976,-14.13249969,-47.50999832,"11064","UNICAMP","spLink"
"melastomoides","Tibouchina melastomoides",19,2,2009,-14.1108,-47.3737,"171994","UNICAMP","spLink"
"melastomoides","Tibouchina melastomoides",21,7,2014,-15.841099,-48.746796,"187766","UNICAMP","spLink"
"melastomoides","Tibouchina melastomoides",21,3,2012,-14.071511,-47.391086,"188127","UNICAMP","spLink"
"melastomoides","Tibouchina melastomoides",10,9,1982,-15.32,-47.33,"54110","UNICAMP","spLink"
"melastomoides","Tibouchina melastomoides",28,5,1998,-15.79440022,-48.7757988,"131411","USP","spLink"
"melastomoides","MELASTOMATACEAE Tibouchina melastomoides (Naudin) Cogn.",11,10,1991,-13.5666666666667,-48.1666666666667,NA,NA,"reflora"
"melastomoides","MELASTOMATACEAE Tibouchina melastomoides (Naudin) Cogn.",9,7,1991,-15.55,-48.25,NA,NA,"reflora"
"melastomoides","MELASTOMATACEAE Tibouchina melastomoides (Naudin) Cogn.",21,6,1990,-14.3166666666667,-48.4,NA,NA,"reflora"
"melastomoides","MELASTOMATACEAE Tibouchina melastomoides (Naudin) Cogn.",18,4,2002,-13.2238888888889,-48.03,NA,NA,"reflora"
"melastomoides","MELASTOMATACEAE Tibouchina melastomoides (Naudin) Cogn.",21,4,1978,-11.4333333333333,-47.5666666666667,NA,NA,"reflora"
"melastomoides","MELASTOMATACEAE Tibouchina melastomoides (Naudin) Cogn.",13,4,1996,-14.4886111111111,-48.5572222222222,NA,NA,"reflora"
"melastomoides","MELASTOMATACEAE Tibouchina cf. melastomoides (Naudin) Cogn.",20,3,2012,-14.1797222222222,-47.8422222222222,NA,NA,"reflora"
