"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aspera","Tibouchina aspera Aubl.",4,8,1981,-0.98333,-54.98333,"3299073","MO","gbif"
"aspera","Tibouchina aspera Aubl.",22,2,1980,-7.516667,-63.166667,"RB00257855","JBRJ","gbif"
"aspera","Tibouchina aspera Aubl.",29,3,1980,-1.05,-48.12,"131386","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"aspera","Tibouchina aspera Aubl.",29,3,1980,-1.05,-48.116667,"1839053","MO","gbif"
"aspera","Tibouchina aspera Aubl.",29,3,1980,-1.05,-48.116667,"01290910","NY","gbif"
"aspera","Tibouchina aspera Aubl.",14,5,1980,5.36666,-67.55,"3270984","MO","gbif"
"aspera","Tibouchina aspera Aubl.",13,8,1980,-2.17505641973007,-56.7457052359991,"01290908","NY","gbif"
"aspera","Tibouchina aspera Aubl.",8,11,1980,5.61,-66.13,"2909815","US","gbif"
"aspera","Tibouchina aspera Aubl.",9,10,1979,5.31,-66.28,"2899704","US","gbif"
"aspera","Tibouchina aspera Aubl.",31,1,1978,4.78,-52.35,"2849401","US","gbif"
"aspera","Tibouchina aspera Aubl.",20,4,1978,5.85,-67.41666,"315294","MO","gbif"
"aspera","Tibouchina aspera Aubl.",29,5,1978,4.05,-66.81,"2891858","US","gbif"
"aspera","Tibouchina aspera Aubl.",13,11,1978,5.8,-67.33,"2891859","US","gbif"
"aspera","Tibouchina aspera Aubl.",NA,NA,1977,9.13333,-62.83333,"3275472","MO","gbif"
"aspera","Tibouchina aspera Aubl.",29,6,1975,5.35,-67.666667,"1816198","MO","gbif"
"aspera","Tibouchina aspera Aubl.",14,2,1974,-7.5,-57.25,"K000972726","K","gbif"
"aspera","Tibouchina aspera Aubl.",19,3,1974,9.266667,-62.933333,"1793116","MO","gbif"
"aspera","Tibouchina aspera Aubl.",27,10,1974,9.170278,-79.420278,"2319795","MO","gbif"
"aspera","Tibouchina aspera Aubl.",19,4,1973,8.81666,-62.45,"3272073","MO","gbif"
"aspera","Tibouchina aspera Aubl.",4,10,1973,9.12055,-79.04611,"1389915","MO","gbif"
"aspera","Tibouchina aspera Aubl.",13,5,1970,5.53,-54.8,"2692450","US","gbif"
"aspera","Tibouchina aspera Aubl.",11,7,1970,14.73333,-83.88333,"1578979","MO","gbif"
"aspera","Tibouchina aspera Aubl.",15,7,1970,14.75,-83.88333,"1579316","MO","gbif"
"aspera","Tibouchina aspera Aubl.",12,1,1969,2.42,-60.18,"K000972723","K","gbif"
"aspera","Tibouchina aspera Aubl.",12,1,1969,0.424722,-60.187222,"MG040981","MPEG","gbif"
"aspera","Tibouchina aspera Aubl.",NA,1,1969,3.41,-65.66,"2561970","US","gbif"
