"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"catharinae","Tibouchina catharinae Pittier",16,2,1993,4.98,-67.3,"3289840","US","gbif"
"catharinae","Tibouchina catharinae Pittier",13,2,1993,5.1,-67.3,"3341375","US","gbif"
"catharinae","Tibouchina catharinae Pittier",NA,9,1989,5.1,-67.4,"3222557","US","gbif"
"catharinae","Tibouchina catharinae Pittier",20,9,1971,4.86,-67.45,"2614312","US","gbif"
"catharinae","Tibouchina catharinae Pittier",31,1,1949,4.95,-67.4,"2046465","US","gbif"
"catharinae","Tibouchina catharinae Pittier",12,12,1948,4.95,-67.4,"2046439","US","gbif"
"catharinensis","Tibouchina catharinensis",1,1,1960,-26.9194,-49.0661,"1060","USP","spLink"
"catharinensis","Tibouchina catharinensis",26,1,1957,-27.0569,-49.5178,"658698","NYBG","spLink"
"catharinensis","Tibouchina catharinensis",8,2,1973,-26.78280067,-49.36439896,"24831","UFSC","spLink"
