"specificEpithet","day","month","year","latitude","longitude"
"aegopogon",21,3,2012,-14.13249969,-47.50999832
"aegopogon",20,3,2012,-14.13249969,-47.50999832
"aegopogon",19,10,1987,-14.13249969,-47.50999832
"aegopogon",6,12,1994,-20.24530029,-46.36579895
"aegopogon",9,12,1994,-20.24530029,-46.36579895
"aegopogon",9,1,1995,-20.24530029,-46.36579895
"aegopogon",29,12,2002,-15.85249996,-48.95920181
"aegopogon",10,10,2003,-16.32670021,-48.95280075
"aegopogon",19,11,2003,-16.32670021,-48.95280075
"aegopogon",18,11,2003,-16.32670021,-48.95280075
"aegopogon",24,1,2006,-15.85249996,-48.95920181
"aegopogon",29,11,2002,-15.85249996,-48.95920181
"aegopogon",4,1,1961,-15.77970028,-47.92969894
"aegopogon",12,12,1965,-15.77970028,-47.92969894
"aegopogon",11,12,1965,-15.77970028,-47.92969894
"aegopogon",9,12,1965,-15.77970028,-47.92969894
"aegopogon",14,12,1965,-15.77970028,-47.92969894
"aegopogon",5,11,1973,-15.77970028,-47.92969894
"aegopogon",23,5,1994,-14.13249969,-47.50999832
"aegopogon",19,11,1987,-14.13249969,-47.50999832
"aegopogon",15,2,1995,-17.56940079,-52.55110168
"aegopogon",11,2,1996,-15.85249996,-48.95920181
"aegopogon",8,12,1987,-15.85249996,-48.95920181
"aegopogon",8,2,1970,-17.22220039,-46.87469864
"aegopogon",27,12,1978,-15.77970028,-47.92969894
"aegopogon",29,11,1988,-14.13249969,-47.50999832
"aegopogon",30,11,1988,-14.13249969,-47.50999832
"aegopogon",12,1,1994,-20.24530029,-46.36579895
"aegopogon",9,1,1995,-19.86529922,-47.43999863
"aegopogon",13,12,2000,-15.77970028,-47.92969894
"aegopogon",23,11,1996,-20.24530029,-46.36579895
"aegopogon",24,1,2005,-14.13249969,-47.50999832
"aegopogon",5,11,1997,-20.25,-47.47000122
"aegopogon",27,2,2000,-20.34390068,-46.85390091
"aegopogon",13,11,1990,-15.75,-48.3
"aegopogon",6,12,1994,-20.2452777777778,-46.3658333333333
"aegopogon",6,3,2015,-11.6941666666667,-47.7008333333333
"aegopogon",20,1,2002,-1.74194444444444,-4.77888888888889
"aegopogon",12,1,1994,-2.02611111111111,-4.64111111111111
"aegopogon",20,2,2003,-18.04,-47.1619444444444
"aegopogon",21,3,2012,-14.2194444444444,-47.7372222222222
"aegopogon",9,3,1992,-13.4666666666667,-48.3833333333333
"aegopogon",29,11,2003,-2.04305555555556,-4.665
"aegopogon",19,1,2015,-19.6827777777778,-46.445
"aegopogon",24,3,2012,-13.9294444444444,-47.4302777777778
"aegopogon",5,12,2002,-20.2005555555556,-46.4847222222222
"aegopogon",24,3,2012,-139.295,-474.305
"aegopogon",8,2,1987,-1.37305555555556,-47.25
"aegopogon",5,12,2002,-20.2602777777778,-46.3872222222222
"aegopogon",6,12,2002,-20.2033333333333,-46.4602777777778
"aegopogon",4,2,1987,-1.67611111111111,-4.76111111111111
"aegopogon",17,3,2012,-16.4758333333333,-47.3405555555556
"aegopogon",8,4,2010,-18.3641666666667,-48.1816666666667
