"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"edmundoi","Tibouchina edmundoi Brade",8,7,2011,-6.050278,-50.126389,"RB00644984","JBRJ","gbif"
"edmundoi","Tibouchina edmundoi Brade",11,6,1978,-6.641589,-51.97281,"1290995","NY","gbif"
"edmundoi","Tibouchina edmundoi",11,6,1978,-6.6415893,-51.97281,"1290995","NYBG","spLink"
"edmundoi","MELASTOMATACEAE Tibouchina edmundoi Brade",24,1,1968,-12.8166666666667,-51.7666666666667,NA,NA,"reflora"
"edmundoi","MELASTOMATACEAE Tibouchina edmundoi Brade",27,6,1978,-8,-52,NA,NA,"reflora"
"edmundoi","MELASTOMATACEAE Tibouchina edmundoi Brade",8,7,2011,-6.05027777777778,-50.1263888888889,NA,NA,"reflora"
