"specificEpithet","scientificName","day","month","year","latitude","longitude"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,3,2012,-16.035709,-50.104255
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,3,2012,-16.366667,-51.366389
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",7,2,1980,-16.066667,-50.183333
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,1,1966,-14,-50
"johnwurdackiana","Tibouchina johnwurdackiana",18,3,2012,-16.035709,-50.104255
"johnwurdackiana","Tibouchina johnwurdackiana",7,2,1980,-16.066667,-50.183333
"johnwurdackiana","Tibouchina johnwurdackiana",18,1,1966,-15.9343996,-50.14030075
"johnwurdackiana","MELASTOMATACEAE Tibouchina johnwurdackiana Todzia",18,3,2012,-16.3666666666667,-51.3663888888889
"johnwurdackiana","MELASTOMATACEAE Tibouchina johnwurdackiana Todzia",18,3,2012,-16.0358333333333,-50.1041666666667
