"specificEpithet","scientificName","day","month","year","latitude","longitude"
"nigricans","Tibouchina nigricans Cogn. ex P.J.F.Guim., A.L.F.Oliveira & R.Romero",27,11,2014,-14.131111,-47.669167
"nigricans","Tibouchina nigricans Cogn. ex P.J.F.Guim., A.L.F.Oliveira & R.Romero",21,3,2012,-14.143056,-47.703056
"nigricans","Tibouchina nigricans",NA,NA,NA,-10.77305556,-53.08972222
"nigricans","Tibouchina nigricans",11,12,1965,-15.7797,-47.9297
"nigricans","Tibouchina nigricans",28,11,1976,-14.1325,-47.5097
"nigricans","Tibouchina nigricans",26,10,1965,-15.7797,-47.9294
"nigricans","Tibouchina nigricans",27,11,2014,-14.131111,-47.669167
"nigricans","Tibouchina nigricans",10,11,1981,-15.766667,-47.716667
"nigricans","MELASTOMATACEAE Tibouchina nigricans P. J. F. Guim., A. L. F. Oliveira & R. Romero",21,3,2012,-14.1430555555556,-47.7030555555556
