"","Comp1","Comp2"
"ai_et0",51.909749299891,-7.78644389906547
"alt",-22.7656037714714,-42.7652493943792
"bio14",50.2854279067958,-14.4360052013952
"bio19",39.8739598230637,16.7599153366153
"bio17",51.565507251708,-13.6025728705345
"bio12",52.1188603617556,-3.40450346094774
"bio6",33.519393911845,42.7852102166227
"bio18",31.2752942720444,-34.1170177075472
